"date","new_cases","hosp_patients","icu_patients","location"
"20-07-2021",30093,NULL,NULL,"India"
"21-07-2021",42015,NULL,NULL,"India"
"22-07-2021",41383,NULL,NULL,"India"
"23-07-2021",35342,NULL,NULL,"India"
"24-07-2021",39097,NULL,NULL,"India"
"25-07-2021",39742,NULL,NULL,"India"
"26-07-2021",39361,NULL,NULL,"India"
"27-07-2021",29689,NULL,NULL,"India"
"28-07-2021",43654,NULL,NULL,"India"
"29-07-2021",43509,NULL,NULL,"India"
"30-07-2021",44230,NULL,NULL,"India"
"31-07-2021",41649,NULL,NULL,"India"
"08-01-2021",41831,NULL,NULL,"India"
"08-02-2021",40134,NULL,NULL,"India"
"08-03-2021",30549,NULL,NULL,"India"
"08-04-2021",42625,NULL,NULL,"India"
"08-05-2021",42982,NULL,NULL,"India"
"08-06-2021",44643,NULL,NULL,"India"
"08-07-2021",38628,NULL,NULL,"India"
"08-08-2021",39070,NULL,NULL,"India"
"08-09-2021",35499,NULL,NULL,"India"
"08-10-2021",28204,NULL,NULL,"India"
"08-11-2021",38353,NULL,NULL,"India"
"08-12-2021",41195,NULL,NULL,"India"
"13-08-2021",40120,NULL,NULL,"India"
"14-08-2021",38667,NULL,NULL,"India"
"15-08-2021",36083,NULL,NULL,"India"
"16-08-2021",32937,NULL,NULL,"India"
"17-08-2021",25166,NULL,NULL,"India"
"18-08-2021",35178,NULL,NULL,"India"
"19-08-2021",36401,NULL,NULL,"India"
"20-08-2021",36571,NULL,NULL,"India"
"21-08-2021",34457,NULL,NULL,"India"
"22-08-2021",30948,NULL,NULL,"India"
"23-08-2021",25072,NULL,NULL,"India"
"24-08-2021",25467,NULL,NULL,"India"
"25-08-2021",37593,NULL,NULL,"India"
